German,English
versuche,tries
Tagen,meet
nächste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
könnt,can
hält,keeps
Team,team
Verstanden,Roger that
kämpfen,fight
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,road
Mist,Damn
König,king
redest,talking about
kleines,small
lebt,lives
erklären,to explain
worden,been
Millionen,millions
Wiedersehen,meet again
Onkel,uncle
kennst,know
sitzen,to sit
dies,this
weniger,Less
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,stuff
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
ändern,to change
Kampf,struggle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,ground
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,message
Willkommen,welcome
vielen,a lot of
hart,hard
lasse,leave
total,total
Gefängnis,jail
außer,except
Sicherheit,security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,class
Bild,picture
stark,strongly
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,to introduce
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,shalt
gestorben,died
Tages,day
war's,was it
Kraft,force
gesprochen,spoken
heraus,out
genauso,just like that
wärst,'d
Eins,one
damals,back then
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,therefore
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,Excuse me
Vergiss,forget
rede,speech
führen,to lead
Bewegung,Move
höre,hear
Geschäft,business
werdet,will
konnten,could
wartet,waiting
Raus,Out
